"name_h","Team_type","Team_size_class","human_members_count","bot_members_count","human_work","work_per_human","human_gini","human_Push","human_IssueComments","human_PRReviewComment","human_MergedPR","bot_work","bot_Push","bot_IssueComments","bot_PRReviewComment","bot_MergedPR","eval_survival_day_median","issues_count"
"7EKR-U07JScE0bSBQf-Iyw/mKxrSwhrWi9HZ3sV54bZug","human-bot","Large",18,1,604,33.5555555555555,0.518763796909492,221,367,16,0,322,0,322,0,0,10,351
"7jyqK2AFr4szh4o1MfKAMw/Q9JKH8_SBuUrJNtDwBUqaQ","human","Medium",4,0,27,6.75,0.453703703703703,27,0,0,0,0,0,0,0,0,NA,NA
"7ld5bjPycgmIqlZ-IrSZqw/NKxhGQNhoZjGmsnlvgWduQ","human","Medium",6,0,355,59.1666666666666,0.638967136150234,109,246,0,0,0,0,0,0,0,5,195
"7PkH0xVSMUXZulCV972KzA/fhdTFA1aZwOLPVNo836sWw","human-bot","Medium",4,1,32,8,0.25,24,7,1,0,18,0,18,0,0,41,8
"7R4RlGuxT82BQcun7raI2A/qMXTUX8UDZFqbyxir5YUaA","human","Large",9,0,344,38.2222222222222,0.678940568475452,322,8,14,0,0,0,0,0,0,7,18
"7sA-8-nyqr0Ri2CT4-FSZw/GJPQoUhHfvUsxKcdkHWLEw","human-bot","Small",3,2,244,81.3333333333333,0.502732240437158,171,73,0,0,136,0,136,0,0,1,41
"7W87iqRwMhPY0fO0oj6hdg/T-UFAJHHT9SfWfZHOrZJ_w","human","Large",7,0,649,92.7142857142857,0.635703279771076,268,360,21,0,0,0,0,0,0,60,114
"7Xep-tc_sXRqdGZ18-MUog/m4gKCZYLclV3PlKDdogc7w","human","Large",9,0,57,6.33333333333333,0.475633528265107,57,0,0,0,0,0,0,0,0,NA,NA
"89_LwToyhyn2RqT0oR1znA/GDQxBpaxeEIx04bIAV0OuA","human-bot","Small",3,1,633,211,0.569773565034228,338,286,9,0,63,0,63,0,0,1,56
"89_LwToyhyn2RqT0oR1znA/pNzNTZ7fCsOwvKyusHZrzQ","human-bot","Small",2,1,56,28,0.267857142857142,13,39,4,0,13,0,13,0,0,1,5
"8PQIAAjGeBzqB4hDzI0ySg/QWlDxQ9MsT_i3vRFRkIUMA","human-bot","Small",2,1,542,271,0.470479704797048,414,101,0,27,102,0,102,0,0,0,147
"8rc0bL138BurrPaAsNsrhQ/NKEJeqi2DoD5zzp5YuE1cw","human-bot","Medium",6,1,308,51.3333333333333,0.577922077922078,104,160,44,0,55,0,55,0,0,7,69
"8TOYl6QCMkO6UaLUiI9W5g/3gGDiwOotI4YekF51_dKXA","human","Medium",5,0,76,15.2,0.436842105263157,76,0,0,0,0,0,0,0,0,NA,NA
"8YunZ7fwaBbWduRcxtKmcg/VQ6emeFgxEI6-k3gF1mCXw","human","Small",2,0,19,9.5,0.394736842105263,19,0,0,0,0,0,0,0,0,NA,NA
"9_vdsuQl2iE9ZtSqSkIsxw/S-3lM2lTqZPzvx69ERuCoQ","human","Small",2,0,25,12.5,0.14,25,0,0,0,0,0,0,0,0,NA,NA
"92-8t_8P5LJMe506slHEBg/MWqfq7ScZnEyAELSEmE-7A","human","Medium",4,0,63,15.75,0.0515873015873015,27,36,0,0,0,0,0,0,0,0,18
"93ku0vRGGbC0G5OKxyclMw/1dTO0cprnOjxZ9fOffO5Pg","human-bot","Medium",5,1,507,101.4,0.595660749506903,311,44,152,0,44,0,44,0,0,NA,NA
"9joyS-YhP_q_hPIFnV22ZQ/fBCbCf-epv2u4Gqx6H0jjQ","human","Medium",4,0,28,7,0.535714285714285,26,1,1,0,0,0,0,0,0,NA,NA
"9k_-nrjXM9N4Ej0iOQLewg/vNZdzvAjoZr776wjxBcwHA","human-bot","Medium",4,1,155,38.75,0.546774193548387,113,40,2,0,16,0,16,0,0,0,38
"9k7tTHERfDpiZ4PZcO8kGg/OGDQHK9IRRANlVBm86aXhg","human-bot","Medium",4,1,146,36.5,0.558219178082191,61,72,13,0,35,0,35,0,0,221,33
"9nUq4LK9Tt3JyrPY-T5kzA/HOpZe8bhcIW-uBnBCUgQGA","human-bot","Medium",5,1,670,134,0.496716417910447,451,75,144,0,131,0,131,0,0,15,161
"9V_dES9RtaF5sbjbmEtFFQ/j-PsYRfi0JKstZc_rE3eOQ","human","Medium",4,0,33,8.25,0.507575757575757,18,15,0,0,0,0,0,0,0,132,11
"9yAG1Wl2EUQb-mgMbu14cg/0SE8Ru05hPPuZfPY-bmeFw","human","Medium",4,0,57,14.25,0.521929824561403,57,0,0,0,0,0,0,0,0,NA,NA
"A0jc13SiiSCXudXITOiC0w/r5IxFA1xTgJxuz-qGzKsMA","human-bot","Medium",5,1,196,39.2,0.336734693877551,14,145,37,0,119,43,76,0,0,NA,NA
"A0NCFeTjJSQNtHGvMH5SdA/9NXFKUbkdsZt_DZDPIKqeA","human","Large",8,0,217,27.125,0.724078341013824,197,20,0,0,0,0,0,0,0,4,8
"a8L9UqkGb524SUYPr_engw/QRCSmTWPfTZo1glF7p1l9g","human-bot","Small",2,1,78,39,0.435897435897435,62,16,0,0,27,0,27,0,0,17,16
"aDx1GdsswIazQK3BwDdwZg/kdZuEuu6QxZbT50qaSVNBQ","human-bot","Medium",6,1,355,59.1666666666666,0.5018779342723,42,167,146,0,42,0,42,0,0,NA,NA
"AL2A8HoKq5jyZ4MBHIItlw/SiALZpsSocb9wYAo9mQtEw","human","Small",2,0,55,27.5,0.481818181818181,55,0,0,0,0,0,0,0,0,NA,NA
"AMj2UkOzac58vu1wFENQAQ/4eadAdlz9GvMsxXM2VRrLw","human-bot","Small",2,1,274,137,0.489051094890511,274,0,0,0,2039,2033,6,0,0,NA,NA
"AMj2UkOzac58vu1wFENQAQ/okqmFqbT3FWyoG3ylQMIkw","human-bot","Small",2,1,23,11.5,0.0652173913043478,7,5,11,0,4,4,0,0,0,NA,NA
"ApaNw6HPxG6fS4AdoOWdOg/1n2z12mL1haXRlKdR_zWEg","human","Medium",4,0,126,31.5,0.642857142857142,126,0,0,0,0,0,0,0,0,NA,NA
"ARlvzBqrJxNrk9zoXwVc8g/5FE-_LaQpRNVMedcM9bSPA","human","Medium",6,0,221,36.8333333333333,0.46078431372549,67,47,107,0,0,0,0,0,0,8,26
"AS9R7xOcH3aPDotWa9Y56g/KW8xPoFeI9vYLrUAY9fh9A","human-bot","Small",2,1,279,139.5,0.489247311827957,228,51,0,0,36,0,36,0,0,42,70
"ASYGR96YA91p3z7MNKjZCA/IB2pZ8ygcvNnlxUdysjSFA","human","Large",12,0,1655,137.916666666666,0.79944612286002,793,684,178,0,0,0,0,0,0,4,190
"auzvE1H_-6I_GekUjyz5Eg/MdXZ2dyMDPk6ImpjOOXXdg","human","Small",3,0,167,55.6666666666666,0.534930139720558,84,80,3,0,0,0,0,0,0,4,59
